t,x,v,a,id,length,lane,oldLane,pos,event
0,0,10,0,0,[],2,,0,enter lane
0,0,10,0,0,[],2,,0,timer
1,10.09,10.2778,0.5555555555555556,0,[],2,,10.09,timer
2,20.74,11.1111,1.1111111111111112,0,[],2,,20.74,timer
3,32.41,12.2222,1.1111111111111112,0,[],2,,32.41,timer
4,45.19,13.3333,1.1111111111111112,0,[],2,,45.19,timer
5,59.08,14.4444,1.1111111111111112,0,[],2,,59.08,timer
6,74.08,15.5555,1.1111111111111112,0,[],2,,74.08,timer
7,90.19,16.6666,1.1111111111111112,0,[],2,,90.19,timer
8,107.41,17.7777,1.1111111111111112,0,[],2,,107.41,timer
9,125.74,18.8888,1.1111111111111112,0,[],2,,125.74,timer
10,145.18,19.9999,1.1111111111111112,0,[],2,,145.18,timer
11,165.74,21.111,1.1111111111111112,0,[],2,,165.74,timer
12,187.41,22.2221,1.1111111111111112,0,[],2,,187.41,timer
13,210.19,23.3332,1.1111111111111112,0,[],2,,210.19,timer
14,234.08,24.4443,1.1111111111111112,0,[],2,,234.08,timer
15,259.08,25.5554,1.1111111111111112,0,[],2,,259.08,timer
16,285.19,26.6665,1.1111111111111112,0,[],2,,285.19,timer
17,312.41,27.7776,1.1111111111111112,0,[],2,,312.41,timer
18,340.74,28.8887,1.1111111111111112,0,[],2,,340.74,timer
19,370.09,29.722,0.5555555555555556,0,[],2,,370.09,timer
20,400.0,29.9998,0,0,[],2,,400.0,timer
21,430.0,29.9998,5.555555555542608e-06,0,[],2,,430.0,timer
22,460.0,29.9998,1.1111111111085216e-05,0,[],2,,460.0,timer
23,490.0,29.9998,1.1111111111085216e-05,0,[],2,,490.0,timer
24,520.0,29.9998,1.1111111111085216e-05,0,[],2,,520.0,timer
25,550.0,29.9998,1.1111111111085216e-05,0,[],2,,550.0,timer
26,580.0,29.9998,1.1111111111085216e-05,0,[],2,,580.0,timer
27,610.0,29.9998,1.1111111111085216e-05,0,[],2,,610.0,timer
28,640.0,29.9998,1.1111111111085216e-05,0,[],2,,640.0,timer
29,670.0,29.9998,1.1111111111085216e-05,0,[],2,,670.0,timer
30,700.0,29.9998,1.1111111111085216e-05,0,[],2,,700.0,timer
31,730.0,29.9998,1.1111111111085216e-05,0,[],2,,730.0,timer
32,760.0,29.9998,1.1111111111085216e-05,0,[],2,,760.0,timer
33,790.0,29.9998,1.1111111111085216e-05,0,[],2,,790.0,timer
34,820.0,29.9998,1.1111111111085216e-05,0,[],2,,820.0,timer
