t,x,v,a,id,length,lane,oldLane,pos,event
0,0,32.70442132959043,0,0,[],2,,0,enter lane
0,0,32.70442132959043,0,0,[],2,,0,timer
1,32.7,32.7055,0.002208488801270487,0,[],2,,32.7,timer
2,65.41,32.7088,0.004416977602540974,0,[],2,,65.41,timer
3,98.12,32.7143,0.00662546640381146,0,[],2,,98.12,timer
4,130.84,32.722,0.008833955205081947,0,[],2,,130.84,timer
5,163.57,32.7319,0.011042444006352434,0,[],2,,163.57,timer
6,196.31,32.744,0.013250932807622922,0,[],2,,196.31,timer
7,229.06,32.7584,0.015459421608893409,0,[],2,,229.06,timer
8,261.83,32.775,0.017667910410163894,0,[],2,,261.83,timer
9,294.61,32.7938,0.01987639921143438,0,[],2,,294.61,timer
10,327.41,32.8148,0.022084888012704865,0,[],2,,327.41,timer
11,360.24,32.838,0.02429337681397535,0,[],2,,360.24,timer
12,393.09,32.8634,0.026501865615245836,0,[],2,,393.09,timer
13,425.96,32.8908,0.027835816384130022,0,[],2,,425.96,timer
14,458.86,32.9186,0.027835816384130022,0,[],2,,458.86,timer
15,0,34.35257924929573,0,1,[],2,,0,enter lane
15,491.79,32.9464,0.027835816384130022,0,[],2,,491.79,timer
15,0,34.35257924929573,0,1,[],2,,0,timer
16,524.75,32.9742,0.027835816384130022,0,[],2,,524.75,timer
16,34.35,34.354,0.0028631860604025417,1,[],2,,34.35,timer
17,557.74,33.002,0.027835816384130022,0,[],2,,557.74,timer
17,68.71,34.3583,0.005726372120805083,1,[],2,,68.71,timer
18,590.76,33.0298,0.027835816384130022,0,[],2,,590.76,timer
18,103.07,34.3655,0.008589558181207626,1,[],2,,103.07,timer
19,623.8,33.0576,0.027835816384130022,0,[],2,,623.8,timer
19,137.44,34.3755,0.011452744241610167,1,[],2,,137.44,timer
20,656.87,33.0854,0.027835816384130022,0,[],2,,656.87,timer
20,171.82,34.3884,0.014315930302012708,1,[],2,,171.82,timer
21,689.97,33.1132,0.027835816384130022,0,[],2,,689.97,timer
21,206.22,34.4041,0.01717911636241525,1,[],2,,206.22,timer
22,723.1,33.141,0.027835816384130022,0,[],2,,723.1,timer
22,240.63,34.4227,0.02004230242281779,1,[],2,,240.63,timer
23,756.25,33.1688,0.027835816384130022,0,[],2,,756.25,timer
23,275.06,34.4442,0.02290548848322033,1,[],2,,275.06,timer
24,789.43,33.1966,0.027835816384130022,0,[],2,,789.43,timer
24,309.52,34.4683,0.024507796560064098,1,[],2,,309.52,timer
25,822.64,33.2244,0.027835816384130022,0,[],2,,822.64,timer
25,344.0,34.4928,0.024507796560064098,1,[],2,,344.0,timer
26,855.88,33.2522,0.027835816384130022,0,[],2,,855.88,timer
26,378.51,34.5173,0.024507796560064098,1,[],2,,378.51,timer
27,889.15,33.28,0.027835816384130022,0,[],2,,889.15,timer
27,413.04,34.5418,0.024507796560064098,1,[],2,,413.04,timer
28,922.44,33.3078,0.027835816384130022,0,[],2,,922.44,timer
28,447.59,34.5663,0.024507796560064098,1,[],2,,447.59,timer
29,955.76,33.3356,0.027835816384130022,0,[],2,,955.76,timer
29,482.17,34.5908,0.024507796560064098,1,[],2,,482.17,timer
30,0,34.353274641045594,0,2,[],2,,0,enter lane
30,989.11,33.3634,0.027835816384130022,0,[],2,,989.11,timer
30,516.77,34.6153,0.024507796560064098,1,[],2,,516.77,timer
30,0,34.353274641045594,0,2,[],2,,0,timer
31,1022.49,33.3912,0.027835816384130022,0,[],2,,1022.49,leave lane
31,1022.49,33.3912,0.027835816384130022,0,[],3,,22.49000000000001,enter lane
31,1022.49,33.3912,0.027835816384130022,0,[],3,,22.49000000000001,timer
31,551.4,34.6398,0.024507796560064098,1,[],2,,551.4,timer
31,34.35,34.355,0.0035121978602498443,2,[],2,,34.35,timer
32,1055.9,33.419,0.027835816384130022,0,[],3,,55.9,timer
32,586.05,34.6643,0.024507796560064098,1,[],2,,586.05,timer
32,68.71,34.3603,0.007024395720499689,2,[],2,,68.71,timer
33,1089.33,33.4468,0.027835816384130022,0,[],3,,89.33,timer
33,620.73,34.6888,0.024507796560064098,1,[],2,,620.73,timer
33,103.07,34.3691,0.010536593580749532,2,[],2,,103.07,timer
34,1122.79,33.4746,0.027835816384130022,0,[],3,,122.79,timer
34,655.43,34.7133,0.024507796560064098,1,[],2,,655.43,timer
34,137.44,34.3814,0.014048791440999377,2,[],2,,137.44,timer
35,1156.28,33.5024,0.027835816384130022,0,[],3,,156.28,timer
35,690.16,34.7378,0.024507796560064098,1,[],2,,690.16,timer
35,171.83,34.3972,0.017560989301249223,2,[],2,,171.83,timer
36,1189.8,33.5302,0.027835816384130022,0,[],3,,189.8,timer
36,724.91,34.7623,0.024507796560064098,1,[],2,,724.91,timer
36,206.24,34.4165,0.021073187161499068,2,[],2,,206.24,timer
37,1223.34,33.558,0.027835816384130022,0,[],3,,223.34,timer
37,759.68,34.7868,0.024507796560064098,1,[],2,,759.68,timer
37,240.67,34.4391,0.023470788747896456,2,[],2,,240.67,timer
38,1256.91,33.5858,0.027835816384130022,0,[],3,,256.91,timer
38,794.48,34.8113,0.024507796560064098,1,[],2,,794.48,timer
38,275.12,34.4626,0.023470788747896456,2,[],2,,275.12,timer
39,1290.51,33.6136,0.027835816384130022,0,[],3,,290.51,timer
39,829.3,34.8358,0.024507796560064098,1,[],2,,829.3,timer
39,309.59,34.4861,0.023470788747896456,2,[],2,,309.59,timer
40,1324.14,33.6414,0.027835816384130022,0,[],3,,324.14,timer
40,864.15,34.8603,0.024507796560064098,1,[],2,,864.15,timer
40,344.09,34.5096,0.023470788747896456,2,[],2,,344.09,timer
41,1357.8,33.6692,0.027835816384130022,0,[],3,,357.8,timer
41,899.02,34.8848,0.024507796560064098,1,[],2,,899.02,timer
41,378.61,34.5331,0.023470788747896456,2,[],2,,378.61,timer
42,1391.48,33.697,0.027835816384130022,0,[],3,,391.48,timer
42,933.92,34.9093,0.024507796560064098,1,[],2,,933.92,timer
42,413.15,34.5566,0.023470788747896456,2,[],2,,413.15,timer
43,1425.19,33.7248,0.027835816384130022,0,[],3,,425.19,timer
43,968.84,34.9338,0.024507796560064098,1,[],2,,968.84,timer
43,447.72,34.5801,0.023470788747896456,2,[],2,,447.72,timer
44,1458.93,33.7526,0.027835816384130022,0,[],3,,458.93,timer
44,1003.79,34.9583,0.024507796560064098,1,[],2,,1003.79,leave lane
44,1003.79,34.9583,0.024507796560064098,1,[],3,,3.7899999999999636,enter lane
44,1003.79,34.9583,0.024507796560064098,1,[],3,,3.7899999999999636,timer
44,482.31,34.6036,0.023470788747896456,2,[],2,,482.31,timer
45,0,35.03230310935491,0,3,[],2,,0,enter lane
45,1492.7,33.7804,0.027835816384130022,0,[],3,,492.7,timer
45,1038.76,34.9828,0.024507796560064098,1,[],3,,38.76,timer
45,516.93,34.6271,0.023470788747896456,2,[],2,,516.93,timer
45,0,35.03230310935491,0,3,[],2,,0,timer
46,1526.49,33.8082,0.027835816384130022,0,[],3,,526.49,timer
46,1073.76,35.0073,0.024507796560064098,1,[],3,,73.76,timer
46,551.57,34.6506,0.023470788747896456,2,[],2,,551.57,timer
46,35.03,35.034,0.003346057554530278,3,[],2,,35.03,timer
47,1560.31,33.836,0.027835816384130022,0,[],3,,560.31,timer
47,1108.78,35.0318,0.024507796560064098,1,[],3,,108.78,timer
47,586.23,34.6741,0.023470788747896456,2,[],2,,586.23,timer
47,70.07,35.039,0.006692115109060556,3,[],2,,70.07,timer
48,1594.16,33.8638,0.027835816384130022,0,[],3,,594.16,timer
48,1143.82,35.0563,0.024507796560064098,1,[],3,,143.82,timer
48,620.92,34.6976,0.023470788747896456,2,[],2,,620.92,timer
48,105.11,35.0474,0.010038172663590833,3,[],2,,105.11,timer
49,1628.04,33.8916,0.027835816384130022,0,[],3,,628.04,timer
49,1178.89,35.0808,0.024507796560064098,1,[],3,,178.89,timer
49,655.63,34.7211,0.023470788747896456,2,[],2,,655.63,timer
49,140.16,35.0591,0.013384230218121112,3,[],2,,140.16,timer
50,1661.95,33.9194,0.027835816384130022,0,[],3,,661.95,timer
50,1213.98,35.1053,0.024507796560064098,1,[],3,,213.98,timer
50,690.36,34.7446,0.023470788747896456,2,[],2,,690.36,timer
50,175.23,35.0742,0.01673028777265139,3,[],2,,175.23,timer
51,1695.88,33.9472,0.027835816384130022,0,[],3,,695.88,timer
51,1249.1,35.1298,0.024507796560064098,1,[],3,,249.1,timer
51,725.12,34.7681,0.023470788747896456,2,[],2,,725.12,timer
51,210.31,35.0926,0.02007634532718167,3,[],2,,210.31,timer
52,1729.84,33.975,0.027835816384130022,0,[],3,,729.84,timer
52,1284.24,35.1543,0.024507796560064098,1,[],3,,284.24,timer
52,759.9,34.7916,0.023470788747896456,2,[],2,,759.9,timer
52,245.41,35.1143,0.02342240288171195,3,[],2,,245.41,timer
53,1763.83,34.0028,0.027835816384130022,0,[],3,,763.83,timer
53,1319.41,35.1788,0.024507796560064098,1,[],3,,319.41,timer
53,794.7,34.8151,0.023470788747896456,2,[],2,,794.7,timer
53,280.54,35.1394,0.026768460436242227,3,[],2,,280.54,timer
54,1797.85,34.0306,0.027835816384130022,0,[],3,,797.85,timer
54,1354.6,35.2033,0.024507796560064098,1,[],3,,354.6,timer
54,829.53,34.8386,0.023470788747896456,2,[],2,,829.53,timer
54,315.69,35.1678,0.030114517990772506,3,[],2,,315.69,timer
55,1831.89,34.0584,0.027835816384130022,0,[],3,,831.89,timer
55,1389.82,35.2278,0.024507796560064098,1,[],3,,389.82,timer
55,864.38,34.8621,0.023470788747896456,2,[],2,,864.38,timer
55,350.87,35.1996,0.03346057554530278,3,[],2,,350.87,timer
56,1865.96,34.0862,0.027835816384130022,0,[],3,,865.96,timer
56,1425.06,35.2523,0.024507796560064098,1,[],3,,425.06,timer
56,899.25,34.8856,0.023470788747896456,2,[],2,,899.25,timer
56,386.09,35.2347,0.03680663309983306,3,[],2,,386.09,timer
57,1900.06,34.114,0.027835816384130022,0,[],3,,900.06,timer
57,1460.32,35.2768,0.024507796560064098,1,[],3,,460.32,timer
57,934.15,34.9091,0.023470788747896456,2,[],2,,934.15,timer
57,421.35,35.273,0.0393248171521961,3,[],2,,421.35,timer
58,1934.19,34.1418,0.027835816384130022,0,[],3,,934.19,timer
58,1495.61,35.3013,0.024507796560064098,1,[],3,,495.61,timer
58,969.07,34.9326,0.023470788747896456,2,[],2,,969.07,timer
58,456.64,35.3123,0.0393248171521961,3,[],2,,456.64,timer
59,1968.35,34.1696,0.027835816384130022,0,[],3,,968.35,timer
59,1530.92,35.3258,0.024507796560064098,1,[],3,,530.92,timer
59,1004.01,34.9561,0.023470788747896456,2,[],2,,1004.01,leave lane
59,1004.01,34.9561,0.023470788747896456,2,[],3,,4.009999999999991,enter lane
59,1004.01,34.9561,0.023470788747896456,2,[],3,,4.009999999999991,timer
59,491.97,35.3516,0.0393248171521961,3,[],2,,491.97,timer
60,0,35.47859659775017,0,4,[],2,,0,enter lane
60,2002.53,34.1974,0.027835816384130022,0,[],3,,1002.53,leave lane
60,2002.53,34.1974,0.027835816384130022,0,[],,,1002.53,end
60,1566.26,35.3503,0.024507796560064098,1,[],3,,566.26,timer
60,1038.98,34.9796,0.023470788747896456,2,[],3,,38.98,timer
60,527.34,35.3909,0.0393248171521961,3,[],2,,527.34,timer
60,0,35.47859659775017,0,4,[],2,,0,timer
61,1601.62,35.3748,0.024507796560064098,1,[],3,,601.62,timer
61,1073.97,35.0031,0.023470788747896456,2,[],3,,73.97,timer
61,562.75,35.4302,0.0393248171521961,3,[],2,,562.75,timer
61,35.48,35.4795,0.0017099347365728103,4,[],2,,35.48,timer
62,1637.01,35.3993,0.024507796560064098,1,[],3,,637.01,timer
62,1108.98,35.0266,0.023470788747896456,2,[],3,,108.98,timer
62,598.2,35.4695,0.0393248171521961,3,[],2,,598.2,timer
62,70.96,35.4821,0.0034198694731456206,4,[],2,,70.96,timer
63,1672.42,35.4238,0.024507796560064098,1,[],3,,672.42,timer
63,1144.02,35.0501,0.023470788747896456,2,[],3,,144.02,timer
63,633.69,35.5088,0.0393248171521961,3,[],2,,633.69,timer
63,106.44,35.4864,0.005129804209718431,4,[],2,,106.44,timer
64,1707.86,35.4483,0.024507796560064098,1,[],3,,707.86,timer
64,1179.08,35.0736,0.023470788747896456,2,[],3,,179.08,timer
64,669.22,35.5481,0.0393248171521961,3,[],2,,669.22,timer
64,141.93,35.4924,0.006839738946291241,4,[],2,,141.93,timer
65,1743.32,35.4728,0.024507796560064098,1,[],3,,743.32,timer
65,1214.17,35.0971,0.023470788747896456,2,[],3,,214.17,timer
65,704.79,35.5874,0.0393248171521961,3,[],2,,704.79,timer
65,177.43,35.5001,0.00854967368286405,4,[],2,,177.43,timer
66,1778.81,35.4973,0.024507796560064098,1,[],3,,778.81,timer
66,1249.28,35.1206,0.023470788747896456,2,[],3,,249.28,timer
66,740.4,35.6267,0.0393248171521961,3,[],2,,740.4,timer
66,212.93,35.5095,0.01025960841943686,4,[],2,,212.93,timer
67,1814.32,35.5218,0.024507796560064098,1,[],3,,814.32,timer
67,1284.41,35.1441,0.023470788747896456,2,[],3,,284.41,timer
67,776.05,35.666,0.0393248171521961,3,[],2,,776.05,timer
67,248.44,35.5206,0.01196954315600967,4,[],2,,248.44,timer
68,1849.85,35.5463,0.024507796560064098,1,[],3,,849.85,timer
68,1319.57,35.1676,0.023470788747896456,2,[],3,,319.57,timer
68,811.74,35.7053,0.0393248171521961,3,[],2,,811.74,timer
68,283.97,35.5334,0.013679477892582479,4,[],2,,283.97,timer
69,1885.41,35.5708,0.024507796560064098,1,[],3,,885.41,timer
69,1354.75,35.1911,0.023470788747896456,2,[],3,,354.75,timer
69,847.46,35.7446,0.0393248171521961,3,[],2,,847.46,timer
69,319.51,35.5479,0.015389412629155289,4,[],2,,319.51,timer
70,1920.99,35.5953,0.024507796560064098,1,[],3,,920.99,timer
70,1389.95,35.2146,0.023470788747896456,2,[],3,,389.95,timer
70,883.22,35.7839,0.0393248171521961,3,[],2,,883.22,timer
70,355.07,35.5641,0.017099347365728098,4,[],2,,355.07,timer
71,1956.6,35.6198,0.024507796560064098,1,[],3,,956.6,timer
71,1425.18,35.2381,0.023470788747896456,2,[],3,,425.18,timer
71,919.02,35.8232,0.0393248171521961,3,[],2,,919.02,timer
71,390.64,35.5821,0.018809282102300907,4,[],2,,390.64,timer
72,1992.23,35.6443,0.024507796560064098,1,[],3,,992.23,timer
72,1460.43,35.2616,0.023470788747896456,2,[],3,,460.43,timer
72,954.86,35.8625,0.0393248171521961,3,[],2,,954.86,timer
72,426.23,35.6018,0.020519216838873717,4,[],2,,426.23,timer
73,2027.89,35.6688,0.024507796560064098,1,[],3,,1027.89,leave lane
73,2027.89,35.6688,0.024507796560064098,1,[],,,1027.89,end
73,1495.7,35.2851,0.023470788747896456,2,[],3,,495.7,timer
73,990.74,35.9018,0.0393248171521961,3,[],2,,990.74,timer
73,461.84,35.6231,0.021782962555547736,4,[],2,,461.84,timer
74,1531.0,35.3086,0.023470788747896456,2,[],3,,531.0,timer
74,1026.66,35.9411,0.0393248171521961,3,[],2,,1026.66,leave lane
74,1026.66,35.9411,0.0393248171521961,3,[],3,,26.660000000000082,enter lane
74,1026.66,35.9411,0.0393248171521961,3,[],3,,26.660000000000082,timer
74,497.47,35.6449,0.021782962555547736,4,[],2,,497.47,timer
75,0,36.12318209841018,0,5,[],2,,0,enter lane
75,1566.32,35.3321,0.023470788747896456,2,[],3,,566.32,timer
75,1062.62,35.9804,0.0393248171521961,3,[],3,,62.62,timer
75,533.13,35.6667,0.021782962555547736,4,[],2,,533.13,timer
75,0,36.12318209841018,0,5,[],2,,0,timer
76,1601.66,35.3556,0.023470788747896456,2,[],3,,601.66,timer
76,1098.62,36.0197,0.0393248171521961,3,[],3,,98.62,timer
76,568.81,35.6885,0.021782962555547736,4,[],2,,568.81,timer
76,36.12,36.1254,0.004404302768641967,5,[],2,,36.12,timer
77,1637.03,35.3791,0.023470788747896456,2,[],3,,637.03,timer
77,1134.66,36.059,0.0393248171521961,3,[],3,,134.66,timer
77,604.51,35.7103,0.021782962555547736,4,[],2,,604.51,timer
77,72.25,36.132,0.008808605537283933,5,[],2,,72.25,timer
78,1672.42,35.4026,0.023470788747896456,2,[],3,,672.42,timer
78,1170.74,36.0983,0.0393248171521961,3,[],3,,170.74,timer
78,640.23,35.7321,0.021782962555547736,4,[],2,,640.23,timer
78,108.39,36.143,0.0132129083059259,5,[],2,,108.39,timer
79,1707.83,35.4261,0.023470788747896456,2,[],3,,707.83,timer
79,1206.86,36.1376,0.0393248171521961,3,[],3,,206.86,timer
79,675.97,35.7539,0.021782962555547736,4,[],2,,675.97,timer
79,144.54,36.1584,0.017617211074567866,5,[],2,,144.54,timer
80,1743.27,35.4496,0.023470788747896456,2,[],3,,743.27,timer
80,1243.02,36.1769,0.0393248171521961,3,[],3,,243.02,timer
80,711.73,35.7757,0.021782962555547736,4,[],2,,711.73,timer
80,180.71,36.1782,0.022021513843209835,5,[],2,,180.71,timer
81,1778.73,35.4731,0.023470788747896456,2,[],3,,778.73,timer
81,1279.22,36.2162,0.0393248171521961,3,[],3,,279.22,timer
81,747.52,35.7975,0.021782962555547736,4,[],2,,747.52,timer
81,216.9,36.2024,0.026425816611851803,5,[],2,,216.9,timer
82,1814.21,35.4966,0.023470788747896456,2,[],3,,814.21,timer
82,1315.46,36.2555,0.0393248171521961,3,[],3,,315.46,timer
82,783.33,35.8193,0.021782962555547736,4,[],2,,783.33,timer
82,253.12,36.231,0.03083011938049377,5,[],2,,253.12,timer
83,1849.72,35.5201,0.023470788747896456,2,[],3,,849.72,timer
83,1351.74,36.2948,0.0393248171521961,3,[],3,,351.74,timer
83,819.16,35.8411,0.021782962555547736,4,[],2,,819.16,timer
83,289.36,36.2638,0.033857898782873826,5,[],2,,289.36,timer
84,1885.25,35.5436,0.023470788747896456,2,[],3,,885.25,timer
84,1388.05,36.3341,0.0393248171521961,3,[],3,,388.05,timer
84,855.01,35.8629,0.021782962555547736,4,[],2,,855.01,timer
84,325.64,36.2977,0.033857898782873826,5,[],2,,325.64,timer
85,1920.81,35.5671,0.023470788747896456,2,[],3,,920.81,timer
85,1424.4,36.3734,0.0393248171521961,3,[],3,,424.4,timer
85,890.88,35.8847,0.021782962555547736,4,[],2,,890.88,timer
85,361.95,36.3316,0.033857898782873826,5,[],2,,361.95,timer
86,1956.39,35.5906,0.023470788747896456,2,[],3,,956.39,timer
86,1460.79,36.4127,0.0393248171521961,3,[],3,,460.79,timer
86,926.78,35.9065,0.021782962555547736,4,[],2,,926.78,timer
86,398.3,36.3655,0.033857898782873826,5,[],2,,398.3,timer
87,1991.99,35.6141,0.023470788747896456,2,[],3,,991.99,timer
87,1497.22,36.452,0.0393248171521961,3,[],3,,497.22,timer
87,962.7,35.9283,0.021782962555547736,4,[],2,,962.7,timer
87,434.68,36.3994,0.033857898782873826,5,[],2,,434.68,timer
88,2027.62,35.6376,0.023470788747896456,2,[],3,,1027.62,leave lane
88,2027.62,35.6376,0.023470788747896456,2,[],,,1027.62,end
88,1533.69,36.4913,0.0393248171521961,3,[],3,,533.69,timer
88,998.64,35.9501,0.021782962555547736,4,[],2,,998.64,timer
88,471.1,36.4333,0.033857898782873826,5,[],2,,471.1,timer
89,1570.2,36.5306,0.0393248171521961,3,[],3,,570.2,timer
89,1034.6,35.9719,0.021782962555547736,4,[],2,,1034.6,leave lane
89,1034.6,35.9719,0.021782962555547736,4,[],3,,34.59999999999991,enter lane
89,1034.6,35.9719,0.021782962555547736,4,[],3,,34.59999999999991,timer
89,507.55,36.4672,0.033857898782873826,5,[],2,,507.55,timer
90,0,38.58641628522204,0,6,[],2,,0,enter lane
90,1606.75,36.5699,0.0393248171521961,3,[],3,,606.75,timer
90,1070.58,35.9937,0.021782962555547736,4,[],3,,70.58,timer
90,544.03,36.5011,0.033857898782873826,5,[],2,,544.03,timer
90,0,38.58641628522204,0,6,[],2,,0,timer
91,1643.34,36.6092,0.0393248171521961,3,[],3,,643.34,timer
91,1106.58,36.0155,0.021782962555547736,4,[],3,,106.58,timer
91,580.55,36.535,0.033857898782873826,5,[],2,,580.55,timer
91,38.59,38.5924,0.01194466528762098,6,[],2,,38.59,timer
92,1679.97,36.6485,0.0393248171521961,3,[],3,,679.97,timer
92,1142.61,36.0373,0.021782962555547736,4,[],3,,142.61,timer
92,617.1,36.5689,0.033857898782873826,5,[],2,,617.1,timer
92,77.19,38.6103,0.02388933057524196,6,[],2,,77.19,timer
93,1716.64,36.6878,0.0393248171521961,3,[],3,,716.64,timer
93,1178.66,36.0591,0.021782962555547736,4,[],3,,178.66,timer
93,653.69,36.6028,0.033857898782873826,5,[],2,,653.69,timer
93,115.81,38.6402,0.03583399586286294,6,[],2,,115.81,timer
94,1753.35,36.7271,0.0393248171521961,3,[],3,,753.35,timer
94,1214.73,36.0809,0.021782962555547736,4,[],3,,214.73,timer
94,690.31,36.6367,0.033857898782873826,5,[],2,,690.31,timer
94,154.47,38.682,0.04777866115048392,6,[],2,,154.47,timer
95,1790.1,36.7664,0.0393248171521961,3,[],3,,790.1,timer
95,1250.82,36.1027,0.021782962555547736,4,[],3,,250.82,timer
95,726.96,36.6706,0.033857898782873826,5,[],2,,726.96,timer
95,193.18,38.7358,0.05972332643810489,6,[],2,,193.18,timer
96,1826.89,36.8057,0.0393248171521961,3,[],3,,826.89,timer
96,1286.93,36.1245,0.021782962555547736,4,[],3,,286.93,timer
96,763.65,36.7045,0.033857898782873826,5,[],2,,763.65,timer
96,231.94,38.8002,0.06602438615737967,6,[],2,,231.94,timer
97,1863.72,36.845,0.0393248171521961,3,[],3,,863.72,timer
97,1323.07,36.1463,0.021782962555547736,4,[],3,,323.07,timer
97,800.37,36.7384,0.033857898782873826,5,[],2,,800.37,timer
97,270.77,38.8662,0.06602438615737967,6,[],2,,270.77,timer
98,1900.58,36.8843,0.0393248171521961,3,[],3,,900.58,timer
98,1359.23,36.1681,0.021782962555547736,4,[],3,,359.23,timer
98,837.13,36.7723,0.033857898782873826,5,[],2,,837.13,timer
98,309.67,38.9322,0.06602438615737967,6,[],2,,309.67,timer
99,1937.48,36.9236,0.0393248171521961,3,[],3,,937.48,timer
99,1395.41,36.1899,0.021782962555547736,4,[],3,,395.41,timer
99,873.92,36.8062,0.033857898782873826,5,[],2,,873.92,timer
99,348.64,38.9982,0.06602438615737967,6,[],2,,348.64,timer
100,1974.42,36.9629,0.0393248171521961,3,[],3,,974.42,timer
100,1431.61,36.2117,0.021782962555547736,4,[],3,,431.61,timer
100,910.74,36.8401,0.033857898782873826,5,[],2,,910.74,timer
100,387.67,39.0642,0.06602438615737967,6,[],2,,387.67,timer
101,2011.4,37.0022,0.0393248171521961,3,[],3,,1011.4,leave lane
101,2011.4,37.0022,0.0393248171521961,3,[],,,1011.4,end
101,1467.83,36.2335,0.021782962555547736,4,[],3,,467.83,timer
101,947.6,36.874,0.033857898782873826,5,[],2,,947.6,timer
101,426.77,39.1302,0.06602438615737967,6,[],2,,426.77,timer
102,1504.07,36.2553,0.021782962555547736,4,[],3,,504.07,timer
102,984.49,36.9079,0.033857898782873826,5,[],2,,984.49,timer
102,465.93,39.1962,0.06602438615737967,6,[],2,,465.93,timer
103,1540.34,36.2771,0.021782962555547736,4,[],3,,540.34,timer
103,1021.41,36.9418,0.033857898782873826,5,[],2,,1021.41,leave lane
103,1021.41,36.9418,0.033857898782873826,5,[],3,,21.409999999999968,enter lane
103,1021.41,36.9418,0.033857898782873826,5,[],3,,21.409999999999968,timer
103,505.16,39.2622,0.06602438615737967,6,[],2,,505.16,timer
104,1576.63,36.2989,0.021782962555547736,4,[],3,,576.63,timer
104,1058.37,36.9757,0.033857898782873826,5,[],3,,58.37,timer
104,544.46,39.3282,0.06602438615737967,6,[],2,,544.46,timer
105,0,39.33275360899021,0,7,[],2,,0,enter lane
105,1612.94,36.3207,0.021782962555547736,4,[],3,,612.94,timer
105,1095.36,37.0096,0.033857898782873826,5,[],3,,95.36,timer
105,583.82,39.3942,0.06602438615737967,6,[],2,,583.82,timer
105,0,39.33275360899021,0,7,[],2,,0,timer
106,1649.27,36.3425,0.021782962555547736,4,[],3,,649.27,timer
106,1132.39,37.0435,0.033857898782873826,5,[],3,,132.39,timer
106,623.25,39.4602,0.06602438615737967,6,[],2,,623.25,timer
106,39.33,39.3335,0.0015500725382735254,7,[],2,,39.33,timer
107,1685.62,36.3643,0.021782962555547736,4,[],3,,685.62,timer
107,1169.45,37.0774,0.033857898782873826,5,[],3,,169.45,timer
107,662.74,39.5262,0.06602438615737967,6,[],2,,662.74,timer
107,78.66,39.3358,0.0031001450765470507,7,[],2,,78.66,timer
108,1722.0,36.3861,0.021782962555547736,4,[],3,,722.0,timer
108,1206.54,37.1113,0.033857898782873826,5,[],3,,206.54,timer
108,702.3,39.5922,0.06602438615737967,6,[],2,,702.3,timer
108,118.0,39.3397,0.004650217614820576,7,[],2,,118.0,timer
109,1758.4,36.4079,0.021782962555547736,4,[],3,,758.4,timer
109,1243.67,37.1452,0.033857898782873826,5,[],3,,243.67,timer
109,741.93,39.6582,0.06602438615737967,6,[],2,,741.93,timer
109,157.34,39.3451,0.006200290153094101,7,[],2,,157.34,timer
110,1794.82,36.4297,0.021782962555547736,4,[],3,,794.82,timer
110,1280.83,37.1791,0.033857898782873826,5,[],3,,280.83,timer
