t,x,v,a,id,lane,oldLane,pos,event
0,0,0,0,0,0,-1,1000,lane info
0,0,0,0,0,1,-1,1000,lane info
0,0,0,0,0,2,-1,1000,lane info
0,0,0,0,0,3,-1,1000,lane info
0,0,0,0,0,4,-1,1000,lane info
0,0,0,0,0,5,-1,1000,lane info
0,0,0,0,0,6,-1,1000,lane info
0,0,0,0,0,7,-1,1000,lane info
0,0,0,0,0,8,-1,300,lane info
8.166970601809496,0,20,0,18,-1,-1,0,start
8.166970601809496,0,20,0,18,5,-1,0,enter lane
8.215416036524708,0,20,0,10,-1,-1,0,start
8.215416036524708,0,20,0,10,2,-1,0,enter lane
9,16.66,20.005146183590288,0.012355346885637407,18,5,-1,16.66,timer
9,15.69,20.004549677817348,0.011597682412974382,10,2,-1,15.69,timer
9,15.69,20.004549677817348,0.011597682412974382,10,2,-1,15.69,change slow
9,15.69,20.004549677817348,0.011597682412974382,10,0,2,15.69,enter lane 0
10,36.67,20.024917443355157,0.02718717264409867,18,5,-1,36.67,timer
10,36.19,21.004549677817348,1,10,0,2,36.19,timer
10.64664553429528,0,20,0,0,-1,-1,0,start
10.64664553429528,0,20,0,0,0,-1,0,enter lane
11,56.71,20.059520528878487,0.04201899840255993,18,5,-1,56.71,timer
11,57.69,22.004549677817344,1.0,10,0,2,57.69,timer
11,7.07,20.00166175062518,0.009405573080067918,0,0,-1,7.07,timer
12,80.19,23.004549677817344,1.0,10,0,2,80.19,leave lane 2
12,80.19,23.004549677817344,0,10,0,-1,80.19,done change slow
12,76.79,20.10895544016028,0.05685082416102119,18,5,-1,76.79,timer
12,80.19,23.004549677817344,0,10,0,-1,80.19,timer
12,27.08,20.02437630094048,0.03602352755054475,0,0,-1,27.08,timer
12,76.79,20.10895544016028,0.05685082416102119,18,5,-1,76.79,change slow
12,76.79,20.10895544016028,0.05685082416102119,18,2,5,76.79,enter lane 2
13,97.4,21.10895544016028,1,18,2,5,97.4,timer
13,103.2,23.011747899819248,0.014396444003805535,10,0,-1,103.2,timer
13,47.13,20.073708805726262,0.06264148202102159,0,0,-1,47.13,timer
14,119.01,22.10895544016028,1,18,2,5,119.01,timer
14,126.22,23.033342565824956,0.02879288800761107,10,0,-1,126.22,timer
14,67.24,20.14965926498252,0.08925943649149842,0,0,-1,67.24,timer
