t,x,v,a,id,length,lane,oldLane,pos,event
11.581753883204541,0,44.30342869736878,0,0,6,2,,0,enter lane
12.0,18.53,44.3037,0.0014318891617380253,0,6,2,,18.53,timer
14.0,107.14,44.3134,0.008279001922563894,0,6,2,,107.14,timer
16.0,195.79,44.3368,0.015126114683389763,0,6,2,,195.79,timer
18.0,284.5,44.3739,0.02197322744421563,0,6,2,,284.5,timer
20.0,373.3,44.4247,0.028820340205041498,0,6,2,,373.3,timer
22.0,462.21,44.4891,0.035023754422710544,0,6,2,,462.21,timer
23.163507766409083,0,42.58233704919071,0,1,4,7,,0,enter lane
24.0,551.26,44.5591,0.035023754422710544,0,6,2,,551.26,timer
24.0,35.62,42.5841,0.0042589971899406175,1,4,7,,35.62,timer
24.0,35.62,42.5841,0.0042589971899406175,1,4,7,,35.62,change slow
24.0,35.62,42.5841,0.0042589971899406175,1,4,0,7,35.62,enter lane
26.0,640.45,44.6291,0.035023754422710544,0,6,2,,640.45,timer
26.0,122.79,44.5841,1,1,4,0,7,122.79,timer
27.0,167.87,45.5841,1,1,4,0,7,167.87,leave lane
27.0,167.87,45.5841,1,1,4,0,,167.87,done change slow
28.0,729.78,44.6991,0.035023754422710544,0,6,2,,729.78,timer
28.0,213.45,45.5822,-0.0038354555128185734,1,4,0,,213.45,timer
28.0,213.45,45.5822,-0.0038354555128185734,1,4,0,,213.45,change slow
28.0,213.45,45.5822,-0.0038354555128185734,1,4,2,0,213.45,enter lane
30.0,819.25,44.7691,0.035023754422710544,0,6,2,,819.25,timer
30.0,306.61,47.5822,1,1,4,2,0,306.61,timer
31.0,354.69,48.5822,1,1,4,2,0,354.69,leave lane
31.0,354.69,48.5822,1,1,4,2,,354.69,done change slow
32.0,908.86,44.8391,0.035023754422710544,0,6,2,,908.86,timer
32.0,403.27,48.5807,-0.0029054240151466376,1,4,2,,403.27,timer
34.0,998.61,44.9091,0.035023754422710544,0,6,2,,998.61,timer
34.0,500.42,48.5691,-0.008716272045439913,1,4,2,,500.42,timer
34.745261649613624,0,42.77540224740454,0,2,5,7,,0,enter lane
36.0,1088.5,44.9791,0.035023754422710544,0,6,2,,1088.5,leave lane
36.0,1088.5,44.9791,0.035023754422710544,0,6,3,,88.5,enter lane
36.0,1088.5,44.9791,0.035023754422710544,0,6,3,,88.5,timer
36.0,597.54,48.5459,-0.014527120075733188,1,4,2,,597.54,timer
36.0,53.67,42.7773,0.0030921705721833363,2,5,7,,53.67,timer
36.0,53.67,42.7773,0.0030921705721833363,2,5,7,,53.67,change slow
36.0,53.67,42.7773,0.0030921705721833363,2,5,0,7,53.67,enter lane
38.0,1178.53,45.0491,0.035023754422710544,0,6,3,,178.53,timer
38.0,694.6,48.511,-0.020337968106026463,1,4,2,,694.6,timer
38.0,141.22,44.7773,1,2,5,0,7,141.22,timer
39.0,186.5,45.7773,1,2,5,0,7,186.5,leave lane
39.0,186.5,45.7773,1,2,5,0,,186.5,done change slow
40.0,1268.7,45.1191,0.035023754422710544,0,6,3,,268.7,timer
40.0,791.58,48.4645,-0.02614881613631974,1,4,2,,791.58,timer
40.0,232.28,45.7766,-0.0013607732824379235,2,5,0,,232.28,timer
40.0,232.28,45.7766,-0.0013607732824379235,2,5,0,,232.28,change slow
40.0,232.28,45.7766,-0.0013607732824379235,2,5,2,0,232.28,enter lane
42.0,1359.01,45.1891,0.035023754422710544,0,6,3,,359.01,timer
42.0,888.45,48.4076,-0.029209212553867287,1,4,2,,888.45,timer
42.0,325.83,47.7766,1,2,5,2,0,325.83,timer
43.0,374.11,48.7766,1,2,5,2,0,374.11,leave lane
43.0,374.11,48.7766,1,2,5,2,,374.11,done change slow
44.0,1449.46,45.2591,0.035023754422710544,0,6,3,,449.46,timer
44.0,985.2,48.3492,-0.029209212553867287,1,4,2,,985.2,timer
44.0,422.89,48.775,-0.0032389671988350293,2,5,2,,422.89,timer
46.0,1540.05,45.3291,0.035023754422710544,0,6,3,,540.05,timer
46.0,1081.84,48.2908,-0.029209212553867287,1,4,2,,1081.84,leave lane
46.0,1081.84,48.2908,-0.029209212553867287,1,4,3,,81.83999999999992,enter lane
46.0,1081.84,48.2908,-0.029209212553867287,1,4,3,,81.83999999999992,timer
46.0,520.43,48.762,-0.009716901596505088,2,5,2,,520.43,timer
46.327015532818166,0,47.438987485931264,0,3,4,2,,0,enter lane
48.0,1630.78,45.3991,0.035023754422710544,0,6,3,,630.78,timer
48.0,1178.36,48.2324,-0.029209212553867287,1,4,3,,178.36,timer
48.0,617.93,48.736,-0.016194835994175146,2,5,2,,617.93,timer
48.0,79.37,47.4419,0.0035219642885263155,3,4,2,,79.37,timer
50.0,1721.65,45.4691,0.035023754422710544,0,6,3,,721.65,timer
50.0,1274.77,48.174,-0.029209212553867287,1,4,3,,274.77,timer
50.0,715.37,48.6971,-0.022672770391845204,2,5,2,,715.37,timer
50.0,174.26,47.4532,0.007732361166220122,3,4,2,,174.26,timer
52.0,1812.66,45.5391,0.035023754422710544,0,6,3,,812.66,timer
52.0,1371.06,48.1156,-0.029209212553867287,1,4,3,,371.06,timer
52.0,812.72,48.6454,-0.028370451934127676,2,5,2,,812.72,timer
52.0,269.18,47.4729,0.01194275804391393,3,4,2,,269.18,timer
54.0,1903.81,45.6091,0.035023754422710544,0,6,3,,903.81,timer
54.0,1467.23,48.0572,-0.029209212553867287,1,4,3,,467.23,timer
